CSA,CSB,AUT,CSI,MFL,MDS,SDM,RAY,EPS,COM,EED,ANG,STA
10.80,12.25,11.79,12.00,11.85,10.38,14.31,11.39,13.00,16.00,14.00,13.00,17.00
9.00,13.86,11.14,12.90,10.12,13.23,11.35,6.89,15.00,15.50,14.00,15.88,17.00
15.60,11.43,11.79,13.40,12.81,7.81,11.42,11.00,16.50,16.50,9.00,11.60,15.50
15.80,10.86,11.36,15.50,12.04,6.31,12.88,7.42,16.00,15.00,12.00,13.10,14.15
5.00,11.57,13.00,15.50,12.96,13.04,11.27,11.44,13.50,16.00,9.50,15.46,16.50
15.00,13.43,13.43,0.00,12.73,10.15,13.92,14.94,15.50,13.00,11.50,17.80,16.95
13.40,12.93,11.79,12.00,14.85,10.08,14.15,10.78,15.00,15.00,9.00,8.90,14.81
6.80,10.29,12.07,15.50,11.15,13.08,14.81,8.33,16.50,16.50,14.00,12.93,14.00
10.80,12.86,14.29,12.00,11.23,12.88,12.38,7.78,13.00,15.00,13.00,10.40,16.00
9.50,10.00,12.29,14.20,10.92,11.42,11.42,7.83,14.00,17.00,13.00,14.60,16.50
8.60,9.57,13.07,15.10,10.88,9.96,11.38,11.00,16.50,16.00,7.00,16.41,16.50
10.80,12.57,13.00,12.00,11.92,12.81,10.58,12.06,15.00,16.50,9.00,13.00,14.00
7.80,14.39,12.79,12.00,11.46,10.15,11.77,10.50,14.50,16.50,14.50,13.25,14.50
11.80,13.86,13.07,15.50,10.73,9.23,10.27,9.61,14.00,15.50,11.50,12.37,
6.80,14.43,11.43,15.60,9.96,10.54,11.58,8.83,16.00,16.00,10.50,13.50,16.70
9.40,12.39,10.36,15.50,9.38,10.69,13.96,6.06,18.00,15.50,15.50,8.80,17.37
6.00,10.00,10.43,15.10,9.96,12.42,14.92,11.17,15.00,16.00,14.50,12.75,16.00
7.00,14.00,10.50,15.60,11.23,12.46,16.38,7.56,13.00,16.50,15.00,8.80,
7.40,10.14,12.14,13.80,12.04,9.15,8.85,9.44,18.00,16.50,13.50,14.53,17.00
4.60,13.86,12.29,15.10,9.23,11.38,15.58,8.33,18.50,15.50,12.50,9.20,16.36
6.80,10.57,14.29,15.50,8.96,12.65,13.69,7.06,14.50,16.00,6.50,12.75,17.00
10.60,12.57,11.93,12.00,11.96,10.77,11.23,8.22,13.50,15.50,11.50,12.50,15.50
9.20,10.14,10.86,15.10,9.35,10.69,13.04,9.22,17.00,16.00,8.00,14.75,13.90
13.40,9.21,12.36,12.00,8.96,10.15,9.50,5.78,16.50,16.00,9.00,16.05,16.00
6.20,12.14,10.86,15.50,11.77,8.31,14.77,8.17,15.00,14.50,9.50,13.38,15.64
10.60,12.00,10.79,16.90,10.54,11.81,10.46,7.61,12.00,14.50,12.00,8.00,16.50
11.40,11.04,12.29,12.00,10.23,8.04,13.58,12.39,14.50,16.00,10.50,8.80,15.00
13.60,11.32,9.79,10.50,10.19,10.04,12.65,4.50,14.00,13.00,,16.00,11.00
6.20,10.79,12.71,13.80,8.73,9.50,10.65,10.94,16.00,15.50,14.50,12.70,17.00
5.40,10.11,11.86,14.20,10.27,7.46,13.00,7.56,14.00,16.50,12.50,15.25,17.75
8.60,10.89,10.07,13.40,9.23,9.69,7.65,9.83,15.00,16.00,13.00,17.40,
10.60,16.00,9.29,12.00,8.85,7.62,12.38,8.92,16.00,16.00,9.50,10.50,16.36
10.80,12.29,12.57,12.00,9.23,6.88,9.65,9.44,15.50,15.50,12.50,13.10,14.50
6.20,10.43,10.86,15.50,8.85,8.77,12.04,8.44,13.50,6.00,14.00,16.97,17.00
14.20,10.57,12.07,16.90,11.27,11.69,11.88,9.83,17.00,14.50,13.50,9.20,0.00
11.60,10.43,11.29,13.40,8.77,12.00,8.46,7.17,14.50,13.50,8.00,13.37,14.00
8.80,11.14,11.21,12.00,10.46,6.04,11.15,9.44,13.50,14.00,10.00,16.27,15.30
2.80,9.86,9.00,14.20,12.54,9.08,12.00,10.22,14.50,14.50,10.50,15.00,15.50
6.80,10.57,10.57,16.30,11.69,7.54,12.77,9.00,17.00,16.00,13.50,11.10,8.00
6.20,11.96,8.71,12.00,11.15,8.54,5.92,7.50,16.50,16.50,12.50,15.50,15.75
5.60,10.00,12.00,13.40,8.92,7.65,9.69,8.44,9.00,13.50,14.00,14.62,14.00
6.60,8.71,8.00,15.50,9.85,10.77,8.62,5.78,16.00,15.50,10.00,9.30,16.50
10.00,9.43,11.71,12.00,10.04,7.92,7.73,6.11,11.00,14.50,8.50,13.35,15.00
10.00,9.89,9.00,12.00,9.31,5.38,7.54,8.72,14.50,13.50,10.00,11.50,16.50
